"id","favs","retweets","user"
"871607530283089920","2","0","Alexander Serebrenik"
"872184960211456001","0","0","Vadim Zaytsev"
"872355505582342144","0","0","Kim Mens"
"872355302850658304","0","0","Marco di Biase"
"872353706712453120","2","1","Davide Spadini"
"872352805268455424","5","0","Felienne"
"872348114019131392","1","0","Adrian Z."
"872361204630552579","0","0","Dorealda Dalipaj"
"872360806335336448","0","0","Andrei Chis"
"872357609348747264","0","0","Alaaeddin Swidan"
"872357249011863552","0","0","Julian"
"872356333466636288","1","1","Yuriy Tymchuk"
"872362899431452672","2","0","Ward Muylaert"
"872369294750953472","3","0","Vadim Zaytsev"
"872368686157504513","2","3","Vadim Zaytsev"
"872368355063324672","0","2","Vadim Zaytsev"
"872368111772676097","0","0","Kim Mens"
"872368105800044544","0","1","Alexander Serebrenik"
"872367930155163653","0","1","Ali Parsai"
"872367910685204480","0","0","Alexander Serebrenik"
"872367796755329024","0","1","Alexander Serebrenik"
"872367616194732032","0","2","Vadim Zaytsev"
"872367525727793154","0","0","Alexander Serebrenik"
"872367245816672256","1","1","Kim Mens"
"872366838394572804","0","0","Vadim Zaytsev"
"872366668294610944","0","0","Vadim Zaytsev"
"872366312986685444","0","0","Vadim Zaytsev"
"872366179305881600","1","0","Vadim Zaytsev"
"872390498635436032","0","2","Tushar Sharma"
"872389440664207360","0","9","Julian"
"872389198753431552","0","0","Kim Mens"
"872388943207161856","0","0","Alexander Serebrenik"
"872388264916918272","0","0","Andrei Chis"
"872387762099507200","0","2","Alexander Serebrenik"
"872387722178068480","0","0","Alexander Serebrenik"
"872387208833007616","2","2","Dorealda Dalipaj"
"872386901260591104","0","9","Alexander Serebrenik"
"872386604551348224","0","9","Kim Mens"
"872386546296651777","20","9","Vadim Zaytsev"
"872386076731637760","0","1","Marco di Biase"
"872386045031194628","1","0","Alexander Serebrenik"
"872386031265382400","1","1","Dorealda Dalipaj"
"872386008784011265","0","1","Vadim Zaytsev"
"872385955126280192","0","1","Kim Mens"
"872385722447261700","0","0","Alexander Serebrenik"
"872385575768215553","0","0","Vadim Zaytsev"
"872383314530889728","0","0","Andrei Chis"
"872382422675070977","0","0","Dorealda Dalipaj"
"872381611525984257","1","0","Mohammad Ghafari"
"872380976789377025","3","0","Vadim Zaytsev"
"872380838377377793","0","2","Kim Mens"
"872380306384449537","0","0","Vadim Zaytsev"
"872379978436005888","1","0","Julian"
"872379314179801088","0","0","Ali Parsai"
"872379059258478593","0","0","Marco di Biase"
"872377291854270464","0","1","Alexander Serebrenik"
"872376890539077632","2","0","Alexander Serebrenik"
"872376350983770113","11","2","Alexander Serebrenik"
"872370832739315714","0","0","Mohammad Ghafari"
"872370682474233860","1","0","Vadim Zaytsev"
"872370162292404224","0","0","Alexander Serebrenik"
"872369939369406465","0","0","Kim Mens"
"872369749648445440","0","0","Vadim Zaytsev"
"872369515962785793","0","0","Alexander Serebrenik"
"872369492315299840","1","0","Kim Mens"
"872369488527851521","2","1","Dorealda Dalipaj"
"872369296621674496","1","0","Mohammad Ghafari"
"872399889841434625","0","0","Andrei Chis"
"872399810522996736","0","3","Alexander Serebrenik"
"872398569029992448","0","0","Alexander Serebrenik"
"872398203727097857","2","1","Alexander Serebrenik"
"872398178297032704","0","0","Andrei Chis"
"872398130939035652","3","0","Yuriy Tymchuk"
"872397816446021632","3","0","Alexander Serebrenik"
"872397447137546242","0","2","Kim Mens"
"872397144942161920","3","0","Kim Mens"
"872396977539080192","0","0","Alexander Serebrenik"
"872396668070744064","1","0","Vadim Zaytsev"
"872396384481288192","0","0","Alexander Serebrenik"
"872396030935007233","1","0","Dorealda Dalipaj"
"872395134545035264","2","0","Kim Mens"
"872394960083046400","1","0","Mohammad Ghafari"
"872394506867535872","3","0","Vadim Zaytsev"
"872394294300209152","0","1","Kim Mens"
"872393648654176258","0","1","Andrei Chis"
"872392922800562177","3","0","Ward Muylaert"
"872392835932225536","0","0","Kim Mens"
"872392668420222976","1","1","Alexander Serebrenik"
"872392449490137088","2","0","Vadim Zaytsev"
"872392259714637824","0","0","Kim Mens"
"872391736970104832","0","0","Kim Mens"
"872391444635504640","0","1","Kim Mens"
"872423862662828032","0","1","Ali Parsai"
"872423727853645824","0","8","Alaaeddin Swidan"
"872423409447297025","0","2","Andrei Chis"
"872423274025807872","0","0","Alaaeddin Swidan"
"872422233901338624","3","0","Yuriy Tymchuk"
"872420031560380416","0","2","Tushar Sharma"
"872419856364294182","0","0","Tushar Sharma"
"872419038504378369","1","1","Vadim Zaytsev"
"872407239532969984","2","1","Alexander Serebrenik"
"872404164046979073","0","1","Yuriy Tymchuk"
"872404102092816384","0","1","Yuriy Tymchuk"
